id;Idade;UF;Cidade;Cidade_1;Cidade_2;Cidade_3;Cidade_4;Cidade_5;Cidade_6;Cidade_7;Cidade_8;Cidade_9;Cidade_10;Cidade_11;Cidade_12;Cidade_13;Cidade_14;Cidade_15;Cidade_16;Cidade_17;Cidade_18;Cidade_19;Cidade_20;Cidade_21;Cidade_22;Cidade_23;Cidade_24;Cidade_25;Cidade_26;Bairro;Sexo;Profissão;Regime de Contratação;Meio de locomoção predominante;Quantas pessoas moram com você?;Qual a faixa etaria?;Quase la o/;Costuma assistir a Lives / Show online durante o trajeto?;Quantas horas em media você utiliza a internet por dia da semana (Seg a Sexta) ?;Quantas horas em media você utiliza a internet por dia (Finais de Semana e Feriado)?;Você tem assistido a lives?;Quais Redes sociais você utiliza?;Outros:;Qual você mais prefere para Live / Shows;Quantas lives / Shows por semana você assiste?;Só falta um;Qual a media de tempo das lives que você assiste?;Qual a duração das lives você acharia melhor ou Ideal?;Você interage durante as lives?;Qual conteudo de live você acha mais interessante?;Outros;Qual estilo musical?;Você assina algum serviço online?;Qual?;Outros_27;Novo Cenario;Oque você faria?;Fim :);Blank [narrative_40];Você pagaria para assistir a lives?;Qual seria um valor que você acharia justo pagar por uma live?;E se fosse um pacote mensal?;Column1
57;47;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Andrade;Feminino;Corretores de imóveis;Autônomo;Carro;2;"20;65";;Sim;6;6;Sim;Amazon Prime, Facebook, Instagram, LinkedIn, NetFlix, Youtube;;Youtube;3;;2;1;Sim;Famosos;;Pop;Sim;Amazon Prime, Outros;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;50;50;06/15/2020 19:34
58;29;PR;;;;;;;;;;;;;;;;;;Londrina;;;;;;;;;;Jd. Guararapes;Masculino;Analistas de sistemas;Clt;Carro;1;"29;31";;Não;8;8;Sim;Instagram, Youtube;;Youtube;1;;1;1;Não;Famosos, Musicais;;Pagode;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 19:25
59;31;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Campo Belo;Feminino;Nutricionistas;Clt;Carro;1;31;;Não;8;4;Não;;;NetFlix;1;;1;1;Sim;Humor;;Rock;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 19:21
60;25;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Jundiaí;;Vila thomazina;Masculino;Engenheiros mecatrônicos;Clt;Trem;3;"14;52:60";;Não;14;6;Não;;;Youtube;0;;1;3;Não;Humor;;Todos;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 19:12
61;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Itaim Bibi;Masculino;Outros engenheiros, arquitetos e afins;Clt;Carro;2;65, 63;;Sim;15;8;Sim;Facebook, Instagram, LinkedIn, Youtube;;Instagram;5;;3;2;Não;Humor;;Eletrônico;Não;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 19:02
62;38;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Guarulhos;;Jardim Tabatinga;Masculino;Advogados;Autônomo;Carro;2;"21;65";;Não;12;10;Não;;;Instagram;2;;1;1;Não;Humor;;Rock and roll;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 19:02
63;21;PR;;;;;;;;;;;;;;;;;;Douradina;;;;;;;;;;-;Masculino;Engenheiros em computação - desenvolvedores de software;Clt;Bicicleta;1;21;;Não;24;24;Sim;Amazon Prime, Facebook, Instagram, LinkedIn, NetFlix, Twitter, Youtube, Outros;;Youtube;5;;1;1;Sim;Humor;;Assisto mais lives sobre tecnologia do que de musica,;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:59
64;41;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Tatuapé;Masculino;Analistas de sistemas;Autônomo;Carro;4;40;;Não;10;4;Não;;;Outros;0;;1;1;Não;Humor;;Metal;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:54
65;41;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila industrial;Masculino;Supervisores de outros trabalhadores da reparação, conservação e manutenção;Clt;Ônibus;5;"33;16;10;6:2";;Não;16;16;Não;;;Youtube;1;;1;1;Não;Musicais, Humor;;Rock;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:51
66;32;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Santa Catarina;Feminino;Corretores de seguros;Clt;Metro;5;"80;55;53;32;23;18";;Não;5;7;Sim;Amazon Prime, Facebook, Instagram, LinkedIn, NetFlix, Youtube;;Youtube;1;;2;4;Não;Musicais;;Sertanejo e pagode;Não;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:49
67;25;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;São João Clímaco;Feminino;Analistas de sistemas;Clt;Metro;3;"22;47;52";;Não;6;10;Não;;;Youtube;0;;1;2;Não;Musicais;;Bem diversificado;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:47
68;35;PR;;;;;;;;;;;;;;;;;;Curitiba;;;;;;;;;;Bairro Alto;Masculino;Engenheiros eletroeletrônicos e afins;Clt;Carro;2;"38;16";;Sim;12;3;Sim;Amazon Prime, Facebook, LinkedIn, Twitter, Vimeo, Youtube;;Youtube;1;;2;1;Sim;Humor;;Rock;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:41
69;41;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Medeiros;Masculino;Analistas de sistemas;Clt;Carro;6;"9;27;29;33;41;50";;Não;18;18;Sim;Amazon Prime, LinkedIn, NetFlix, Youtube;;Outros;0;;1;1;Sim;Humor;;Rock;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:38
70;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Chácara Santana;Feminino;Professores (com formação superior) da educação infantil;Clt;Ônibus;2;"63;65";;Não;8;12;Sim;Instagram, Youtube;;Youtube;1;;3;2;Não;Famosos, Musicais, Humor;;Samba, sertanejo, mpb.;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:37
71;35;SC;;;;;;;;;;;;;;;;;;;;;;;;Criciúma;;;;Demboski;Masculino;Analistas de sistemas;PJ;Carro;1;35;;Não;15;10;Sim;Facebook, Instagram, LinkedIn, Twitter, Youtube;;Youtube;3;;1;1;Sim;Musicais, Humor;;Pop;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:31
72;31;RJ;;;;;;;;;;;;;;;;;;;Rio de Janeiro;;;;;;;;;Barra da Tijuca;Feminino;Técnicos do vestuário;Autônomo;Metro;2;"6;76";;Não;21;3;Não;;;NetFlix;3;;20;2;Não;Musicais;;Todos;Não;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:30
73;31;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Moema;Masculino;Analistas de sistemas;Clt;Carro;2;29;;Não;9;9;Sim;Youtube;;Youtube;1;;4;4;Não;Musicais;;Sertanejo;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:20
74;23;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Santos;;Gonzaga;Masculino;Analistas de sistemas;Clt;Ônibus;2;"54;55";;Sim;12;16;Sim;Amazon Prime, Instagram, NetFlix, Youtube;;NetFlix;15;;1;1;Não;Famosos;;Trap;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:16
75;29;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Santo Amaro;Masculino;Analistas de sistemas;PJ;Bicicleta;1;60;;Não;15;8;Sim;Instagram, LinkedIn, Youtube, Outros;;Youtube;4;;2;1;Não;Famosos;;Rap;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;;;06/15/2020 18:16
76;48;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Campo Grande;Masculino;Mecânicos de manutenção de aparelhos térmicos, de climatização e de refrigeração(exceto técnicos);PJ;Carro;3;"47;18;10";;Não;3;5;Sim;Facebook, NetFlix, Youtube;;Youtube;1;;2;1;Sim;Musicais;;Flash House/ R&B;Sim;NetFlix;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;15;40;06/15/2020 18:14
77;33;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Nova Conceição;Masculino;Engenheiros mecânicos;PJ;Carro;2;"33; 52";;Não;6;6;Sim;Youtube;;Youtube;2;;3;4;Não;Humor;;Variado;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/15/2020 18:14
78;29;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Jandira;;Jd Europa;Masculino;Analistas de sistemas;PJ;Trem;2;"32;60";;Não;15;3;Não;;;Youtube;0;;1;4;Não;Musicais;;Eclético;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;20;5;06/15/2020 18:12
79;32;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Itapevi;;Monte Serrat;Masculino;Engenheiros em computação - desenvolvedores de software;Outros;Carro;6;"13;14;24;32;56;56";;Não;6;5;Sim;Instagram, LinkedIn, Twitter, Youtube;;Youtube;2;;2;15;Não;Musicais;;Todos;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/15/2020 18:09
80;32;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Pirituba;Feminino;Analistas de sistemas;PJ;Trem;3;25,55,74;;Não;15;5;Sim;Amazon Prime, Facebook, Instagram, LinkedIn, NetFlix, Skoob, Youtube;;Youtube;1;;1;2;Não;Musicais;;pop rock;Sim;Amazon Prime, Facebook, Instagram, NetFlix, Skoob, Youtube;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;20;10;06/15/2020 18:08
81;31;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Carapicuíba;;Vila Cretti;Masculino;Analistas de sistemas;Clt;Carro;2;"5;27";;Não;10;30;Sim;Youtube;;Youtube;4;;3;2;Sim;Famosos;;Sertanejo, Pop, Rpck;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/15/2020 18:07
82;24;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Jardim Vila Carrão;Masculino;Analistas de sistemas;Clt;Ônibus;3;"54;51;14";;Não;5;7;Sim;Youtube, Outros;;Youtube;1;;1;1;Não;Musicais;;Rock n' Roll;Sim;Amazon Prime, NetFlix;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;5;10;06/15/2020 18:04
83;31;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;vila diva;Masculino;Gerentes de áreas de apoio;Clt;Carro;3;46;;Não;16;12;Não;;;NetFlix;1;;1;2;Não;Musicais, Humor;;mpb;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/15/2020 17:59
84;27;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Maria;Masculino;Administradores;Clt;Ônibus;3;"15;19;44";;Não;11;70;Sim;Amazon Prime, Facebook, Instagram, LinkedIn, NetFlix;;Facebook;1;;1;1;Sim;Musicais;;RAP;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;50;10;06/15/2020 17:59
85;24;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;ipiranga;Feminino;Profissionais da informação;PJ;Metro;3;"56;8;86";;Não;9;16;Não;;;Youtube;0;;1;0;Não;Famosos;;Indie;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/15/2020 17:58
